framework,page,run,performance,accessibility,best_practices,seo,fcp_ms,lcp_ms,tbt_ms,cls,measured_at,notes
nuxt,home,1,98,90,100,100,622.4146496755823,1042.6219745133735,0,0,2026-08-04T16:55:14.483Z,"Lighthouse 13.4.1; Chrome Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36; URL http://127.0.0.1:3000/; HTML C:\Users\HP\Desktop\nuxt-next-ecommerce-comparison\experimental-results\pilot-02\lighthouse\nuxt\home-run-01.html"
nuxt,products,1,97,91,100,100,668.8026301510922,1231.5065753777303,0,0,2026-08-04T16:55:31.912Z,"Lighthouse 13.4.1; Chrome Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36; URL http://127.0.0.1:3000/products; HTML C:\Users\HP\Desktop\nuxt-next-ecommerce-comparison\experimental-results\pilot-02\lighthouse\nuxt\products-run-01.html"
nuxt,product-detail,1,99,89,100,100,576.0586,874.0879,0,0,2026-08-04T16:55:46.900Z,"Lighthouse 13.4.1; Chrome Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36; URL http://127.0.0.1:3000/product/nike-draft-run-01; HTML C:\Users\HP\Desktop\nuxt-next-ecommerce-comparison\experimental-results\pilot-02\lighthouse\nuxt\product-detail-run-01.html"
next,home,1,89,96,96,100,228.71550000000002,607.7155,0,0.2238417403777193,2026-08-04T16:56:03.832Z,"Lighthouse 13.4.1; Chrome Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36; URL http://127.0.0.1:3001/; HTML C:\Users\HP\Desktop\nuxt-next-ecommerce-comparison\experimental-results\pilot-02\lighthouse\next\home-run-01.html"
next,products,1,95,96,96,100,304.926,784.3889999999999,0,0.1351063829787234,2026-08-04T16:56:20.641Z,"Lighthouse 13.4.1; Chrome Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36; URL http://127.0.0.1:3001/products; HTML C:\Users\HP\Desktop\nuxt-next-ecommerce-comparison\experimental-results\pilot-02\lighthouse\next\products-run-01.html"
next,product-detail,1,100,96,96,100,222.84550000000002,574.8455,0,0,2026-08-04T16:56:34.892Z,"Lighthouse 13.4.1; Chrome Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36; URL http://127.0.0.1:3001/product/nike-draft-run-01; HTML C:\Users\HP\Desktop\nuxt-next-ecommerce-comparison\experimental-results\pilot-02\lighthouse\next\product-detail-run-01.html"
