framework,page,run,performance,accessibility,best_practices,seo,fcp_ms,lcp_ms,tbt_ms,cls,measured_at,notes
nuxt,home,1,99,90,100,100,618.4984835137707,958.4984835137707,0,0,2026-08-04T16:41:52.261Z,"Lighthouse 13.4.1; Chrome Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36; URL http://127.0.0.1:3000/; HTML C:\Users\HP\Desktop\nuxt-next-ecommerce-comparison\experimental-results\pilot\lighthouse\nuxt\home-run-01.html"
nuxt,products,1,98,91,100,100,665.6677654968861,1126.0016482453295,0,0,2026-08-04T16:42:09.768Z,"Lighthouse 13.4.1; Chrome Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36; URL http://127.0.0.1:3000/products; HTML C:\Users\HP\Desktop\nuxt-next-ecommerce-comparison\experimental-results\pilot\lighthouse\nuxt\products-run-01.html"
nuxt,product-detail,1,99,89,100,100,575.6544,815.6543999999999,0,0,2026-08-04T16:42:24.610Z,"Lighthouse 13.4.1; Chrome Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36; URL http://127.0.0.1:3000/product/nike-draft-run-01; HTML C:\Users\HP\Desktop\nuxt-next-ecommerce-comparison\experimental-results\pilot\lighthouse\nuxt\product-detail-run-01.html"
